,date,person,msg,processed_msg
0,2024-02-20,TChimpo,"Note the words ""most"".  Most is not binary.  Learn English bro",note word `` '' . binary . learn english bro
1,2024-02-20,TNanomaly EndTN,"🇳🇱 Dutch MEP Rob Roos says ""climate change"" is a fabricated crisis, adding, ""We are heading to a new kind of communism.""

https://t.me/australiaforfreedom ","🇳🇱 dutch mep rob roos say `` climate change '' fabricated crisis , adding , `` heading new kind communism . '' http : //t.me/australiaforfreedom"
2,2024-02-20,TNanomaly EndTN,"Co-founder of Greenpeace, Patrick Moore, explains why “climate change,” far from being a recent human-caused disaster, is, for a myriad of complex reasons, a fact of life on Planet Earth.

Join: Tucker Carlson  🎙 ","co-founder greenpeace , patrick moore , explains “ climate change , ” far recent human-caused disaster , , myriad complex reason , fact life planet earth . join : tucker carlson 🎙"
3,2024-02-20,Henry,"Says the person who says “ most large industries are bad”. 

That is pretty absolute and binary.",say person say “ large industry bad ” . pretty absolute binary .
4,2024-02-20,TChimpo,"The world is not binary.  Either good or bad.  There are many in between.

This will be my last comment on this topic.",world binary . either good bad . many . last comment topic .
5,2024-02-20,TNanomaly EndTN,"Climate Change Hoax:   Geologist, Professor Ian Plimer on the insane agenda of Net Zero: ""If we had Net Zero, then you wouldn't eat. Because when you eat, you convert carbon compounds, which go into your body and the rest you get rid of. We breathe in 0.04% carbon dioxide [and] breathe out 4%. That's us getting rid of carbon dioxide. So if we had Net Zero, you'd have to drop dead.""","climate change hoax : geologist , professor ian plimer insane agenda net zero : `` net zero , would n't eat . eat , convert carbon compound , go body rest get rid . breathe 0.04 % carbon dioxide [ ] breathe 4 % . 's u getting rid carbon dioxide . net zero , 'd drop dead . ''"
6,2024-02-20,Henry,"You bringing us down your rabbit hole of dumbness. 

Every layer I iron out, you have something dumber underneath.","bringing u rabbit hole dumbness . every layer iron , something dumber underneath ."
7,2024-02-20,TChimpo,You need to wake up and expand your outlook.  You are being myopic,need wake expand outlook . myopic
8,2024-02-20,TChimpo,Most large industries are the enemy.,large industry enemy .
9,2024-02-20,Henry,You also agree that normal people do not respect people who make dumb statements. Much less be convinced by them,also agree normal people respect people make dumb statement . much le convinced
10,2024-02-20,Henry,"So you agree to think twice about make statements that suggest “industry” is the enemy. 

“”They” want to use fossils fuels for “industry” not for us.”” is a pretty weak if not downright below average IQ statement to make.",agree think twice make statement suggest “ industry ” enemy . “ ” ” want use fossil fuel “ industry ” us. ” ” pretty weak downright average iq statement make .
11,2024-02-19,TChimpo,https://www.todayonline.com/singapore/air-ticket-prices-go-singapore-mandates-sustainable-fuel-departing-flights-2026-2365446 ,http : //www.todayonline.com/singapore/air-ticket-prices-go-singapore-mandates-sustainable-fuel-departing-flights-2026-2365446
12,2024-02-19,TChimpo,"I concur 100%.  Industry makes products people want and yes they need to make money. 

That is why fossil fuels for industries will continue pumping no matter what climate laws are made.  

There is nothing to worry about  on the useful product front. You will have all the products you want.

However, on the ICE car front, air travel (Singapore already going to implement carbon tax on flight tickets), carbon credits, 15 minute cities and whatever else that affect the general population, those are sure to be implemented.","concur 100 % . industry make product people want yes need make money . fossil fuel industry continue pumping matter climate law made . nothing worry useful product front . product want . however , ice car front , air travel ( singapore already going implement carbon tax flight ticket ) , carbon credit , 15 minute city whatever else affect general population , sure implemented ."
