,date,person,msg,processed_msg
0,20/2/2024,TChimpo,"Note the words ""most"".  Most is not binary.  Learn English bro",note word `` '' . binary . learn english bro
1,20/2/2024,TNanomaly EndTN,"ðŸ‡³ðŸ‡± Dutch MEP Rob Roos says ""climate change"" is a fabricated crisis, adding, ""We are heading to a new kind of communism.""

https://t.me/australiaforfreedom ","ðŸ‡³ðŸ‡± dutch mep rob roos say `` climate change '' fabricated crisis , adding , `` heading new kind communism . '' http : //t.me/australiaforfreedom"
2,20/2/2024,TNanomaly EndTN,"Co-founder of Greenpeace, Patrick Moore, explains why â€œclimate change,â€ far from being a recent human-caused disaster, is, for a myriad of complex reasons, a fact of life on Planet Earth.

Join: Tucker Carlson  ðŸŽ™ ","co-founder greenpeace , patrick moore , explains â€œ climate change , â€ far recent human-caused disaster , , myriad complex reason , fact life planet earth . join : tucker carlson ðŸŽ™"
3,20/2/2024,Henry,"Says the person who says â€œ most large industries are badâ€. 

That is pretty absolute and binary.",say person say â€œ large industry bad â€ . pretty absolute binary .
4,20/2/2024,TChimpo,"The world is not binary.  Either good or bad.  There are many in between.

This will be my last comment on this topic.",world binary . either good bad . many . last comment topic .
5,20/2/2024,TNanomaly EndTN,"Climate Change Hoax:   Geologist, Professor Ian Plimer on the insane agenda of Net Zero: ""If we had Net Zero, then you wouldn't eat. Because when you eat, you convert carbon compounds, which go into your body and the rest you get rid of. We breathe in 0.04% carbon dioxide [and] breathe out 4%. That's us getting rid of carbon dioxide. So if we had Net Zero, you'd have to drop dead.""","climate change hoax : geologist , professor ian plimer insane agenda net zero : `` net zero , would n't eat . eat , convert carbon compound , go body rest get rid . breathe 0.04 % carbon dioxide [ ] breathe 4 % . 's u getting rid carbon dioxide . net zero , 'd drop dead . ''"
6,20/2/2024,Henry,"You bringing us down your rabbit hole of dumbness. 

Every layer I iron out, you have something dumber underneath.","bringing u rabbit hole dumbness . every layer iron , something dumber underneath ."
7,20/2/2024,TChimpo,You need to wake up and expand your outlook.  You are being myopic,need wake expand outlook . myopic
8,20/2/2024,TChimpo,Most large industries are the enemy.,large industry enemy .
9,20/2/2024,Henry,You also agree that normal people do not respect people who make dumb statements. Much less be convinced by them,also agree normal people respect people make dumb statement . much le convinced
10,20/2/2024,Henry,"So you agree to think twice about make statements that suggest â€œindustryâ€ is the enemy. 

â€œâ€Theyâ€ want to use fossils fuels for â€œindustryâ€ not for us.â€â€ is a pretty weak if not downright below average IQ statement to make.",agree think twice make statement suggest â€œ industry â€ enemy . â€œ â€ â€ want use fossil fuel â€œ industry â€ us. â€ â€ pretty weak downright average iq statement make .
11,19/2/2024,TChimpo,https://www.todayonline.com/singapore/air-ticket-prices-go-singapore-mandates-sustainable-fuel-departing-flights-2026-2365446 ,http : //www.todayonline.com/singapore/air-ticket-prices-go-singapore-mandates-sustainable-fuel-departing-flights-2026-2365446
12,19/2/2024,TChimpo,"I concur 100%.  Industry makes products people want and yes they need to make money. 

That is why fossil fuels for industries will continue pumping no matter what climate laws are made.  

There is nothing to worry about  on the useful product front. You will have all the products you want.

However, on the ICE car front, air travel (Singapore already going to implement carbon tax on flight tickets), carbon credits, 15 minute cities and whatever else that affect the general population, those are sure to be implemented.","concur 100 % . industry make product people want yes need make money . fossil fuel industry continue pumping matter climate law made . nothing worry useful product front . product want . however , ice car front , air travel ( singapore already going implement carbon tax flight ticket ) , carbon credit , 15 minute city whatever else affect general population , sure implemented ."
13,19/2/2024,Geoff Smith,"Henry is correct, industries make things people want to buy. If they donâ€™t, they go out of business (unless propped up by politicians using taxpayer funds). Some people think they want to give up hydrocarbons because they donâ€™t know the facts (often being deceived). Here are some energy facts that no one who is sensible can afford to ignore https://open.substack.com/pub/energysecurityfreedom/p/facing-the-hard-truths-of-energy ?","henry correct , industry make thing people want buy . â€™ , go business ( unless propped politician using taxpayer fund ) . people think want give hydrocarbon â€™ know fact ( often deceived ) . energy fact one sensible afford ignore http : //open.substack.com/pub/energysecurityfreedom/p/facing-the-hard-truths-of-energy ?"
14,19/2/2024,Henry,"â€œThey continue to pump hydrocarbons for industry not for usâ€- peak conspiracy theorist. 

Same left wing ideas for hating rich people. You are not so different. 

Who are the industries making pots and pans for ???????",â€œ continue pump hydrocarbon industry u â€ - peak conspiracy theorist . left wing idea hating rich people . different . industry making pot pan ? ? ? ? ? ? ?
15,19/2/2024,Henry,"Net zero is going to fail. It is not going to work. 

The question is just HOW it is going to fail. What is the damage to whom, and how much. 

You give more power to your conspiracy porn than that of reality.","net zero going fail . going work . question going fail . damage , much . give power conspiracy porn reality ."
